customer_id,age,tenure_months,monthly_charge,state,plan,signup_date,support_tickets,churned,last_payment,data_source,cancellation_reason,notes
C00062,42,73,56.96,WA,basic,2020-02-21,0,0,$60.88,crm_export,,note-62
C00063,82,76,,CA,basic,2023-05-27,3,0,$70.85,crm_export,,note-63
C00064,45,61,51.08,FL,basic,2022-09-13,1,0,$78.25,crm_export,,note-64
C00065,39,82,65.97,TX,pro,2020-08-15,1,0,$68.39,crm_export,,note-65
C00066,78,63,117.23,NY,basic,2022-07-15,1,0,$52.09,crm_export,,note-66
C00067,42,1,104.63,WA,basic,2020-09-12,0,1,$78.95,crm_export,moved,note-67
C00068,23,4,,FL,enterprise,2021-09-14,1,0,$67.99,crm_export,,note-68
C00069,999,114,,CA,basic,2021-12-18,1,0,$82.56,crm_export,,note-69
C00070,71,109,91.11,CA,basic,2023-07-27,0,0,$88.47,crm_export,,note-70
C00071,999,70,98.25,CA,basic,2021-04-10,1,0,$40.28,crm_export,,note-71
C00072,49,20,49.25,TX,basic,2020-01-18,2,1,$90.66,crm_export,moved,note-72
C00073,26,93,,TX,basic,2021-08-28,1,0,$64.91,crm_export,,note-73
C00074,63,17,24.45,FL,pro,2023-07-21,3,0,$86.50,crm_export,,note-74
C00075,49,45,98.08,FL,basic,2023-01-22,2,1,$79.88,crm_export,service,note-75
C00076,40,-1,121.63,CA,basic,2020-03-23,0,1,$107.08,crm_export,moved,note-76
C00077,33,1,72.0,TX,pro,2020-03-15,0,0,$70.13,crm_export,,note-77
C00078,55,96,16.87,New York,basic,2022-11-25,0,0,$61.93,crm_export,,note-78
C00079,62,61,85.22,WA,basic,2022-10-06,0,0,$59.74,crm_export,,note-79
C00080,81,37,47.4,NY,enterprise,2022-02-19,2,0,$49.26,crm_export,,note-80
C00081,47,60,53.42,CA,basic,2020-05-03,4,0,$86.16,crm_export,,note-81
C00082,28,0,85.66,CA,basic,2021-01-27,1,0,$47.97,crm_export,,note-82
C00083,73,52,76.36,NY,pro,2023-04-01,0,0,$85.99,crm_export,,note-83
C00084,60,62,57.8,TX,pro,2020-07-14,1,0,$65.53,crm_export,,note-84
C00085,64,40,53.76,N.Y.,pro,2020-10-09,0,0,$34.74,crm_export,,note-85
C00086,24,99,73.15,CA,pro,2021-09-25,0,0,$99.77,crm_export,,note-86
C00087,38,29,59.76,NY,basic,2022-10-25,1,1,$2.48,crm_export,service,note-87
C00088,69,16,42.27,NY,basic,2023-03-05,3,0,$68.36,crm_export,,note-88
C00089,73,63,61.69,TX,pro,2022-04-08,1,0,$74.68,crm_export,,note-89
C00090,47,106,78.49,CA,pro,2021-11-20,0,1,$23.88,crm_export,price,note-90
C00091,71,45,65.55,FL,pro,2021-06-23,3,0,$78.83,crm_export,,note-91
C00092,74,5,34.66,TX,basic,2020-03-02,1,0,$56.60,crm_export,,note-92
C00093,43,116,94.73,NY,pro,2021-01-09,3,0,$65.03,crm_export,,note-93
C00094,78,53,1.53,WA,basic,2020-10-27,0,0,$96.86,crm_export,,note-94
C00095,37,20,58.84,FL,basic,2020-03-21,1,0,$72.85,crm_export,,note-95
C00096,999,73,54.5,CA,basic,2022-11-09,0,0,$62.99,crm_export,,note-96
C00097,63,38,73.7,CA,basic,2021-05-09,2,1,$66.59,crm_export,price,note-97
C00098,60,112,84.04,CA,pro,2021-12-14,1,0,$105.52,crm_export,,note-98
C00099,27,35,98.17,N.Y.,basic,2020-10-07,2,0,$78.09,crm_export,,note-99
C00100,73,66,52.19,NY,pro,2022-04-07,0,0,$52.32,crm_export,,note-100
C00101,31,65,,NY,basic,2020-07-09,4,0,$60.23,crm_export,,note-101
C00102,71,29,74.9,TX,basic,2022-08-06,0,1,$46.20,crm_export,service,note-102
C00103,18,59,27.21,TX,basic,2022-10-30,2,0,$60.97,crm_export,,note-103
C00104,71,13,117.51,CA,basic,2021-03-12,0,0,$102.16,crm_export,,note-104
C00105,70,77,34.03,CA,pro,2020-10-24,0,0,$66.67,crm_export,,note-105
C00106,70,90,80.49,FL,basic,2022-12-28,0,0,$43.26,crm_export,,note-106
C00107,62,114,79.75,WA,basic,2020-11-08,0,0,$78.62,crm_export,,note-107
C00108,49,39,76.89,WA,basic,2020-09-06,1,0,$62.15,crm_export,,note-108
C00109,65,34,57.64,WA,basic,2021-04-21,1,0,$81.23,crm_export,,note-109
C00110,36,65,90.68,TX,basic,2023-09-15,1,0,$65.15,crm_export,,note-110
C00111,70,83,30.99,N.Y.,enterprise,2021-10-09,0,0,$98.91,crm_export,,note-111
C00112,55,119,68.35,WA,basic,2021-01-02,0,0,$51.79,crm_export,,note-112
C00113,48,3,55.9,WA,basic,2021-12-20,1,0,$46.70,crm_export,,note-113
C00114,999,28,53.07,CA,pro,2021-05-02,0,0,$88.75,crm_export,,note-114
C00115,56,31,80.72,N.Y.,pro,2022-07-19,2,0,$29.93,crm_export,,note-115
C00116,20,30,96.94,TX,basic,2021-09-06,0,0,$66.56,crm_export,,note-116
C00117,27,55,61.42,TX,pro,2022-04-03,0,0,$86.01,crm_export,,note-117
C00118,34,104,89.52,WA,enterprise,2021-09-02,2,0,$26.11,crm_export,,note-118
C00119,25,3,71.24,NY,basic,2021-11-05,3,0,$71.29,crm_export,,note-119
C00120,47,97,47.68,WA,basic,2021-09-18,2,0,$40.08,crm_export,,note-120
C00121,62,74,63.55,WA,pro,2021-07-05,4,0,$33.10,crm_export,,note-121
C00122,61,73,62.51,WA,pro,2023-09-11,1,0,$48.68,crm_export,,note-122
C00123,49,81,52.58,CA,enterprise,2021-01-07,2,0,$66.33,crm_export,,note-123
C00124,75,13,80.71,NY,basic,2023-02-01,3,1,$55.88,crm_export,moved,note-124
C00125,55,89,75.87,NY,enterprise,2022-09-20,1,0,$92.14,crm_export,,note-125
C00126,23,29,30.23,FL,basic,2022-01-09,1,0,$71.65,crm_export,,note-126
C00127,69,61,28.71,FL,pro,2021-03-20,1,0,$60.22,crm_export,,note-127
C00128,56,-1,80.62,TX,pro,2021-11-08,0,0,$43.80,crm_export,,note-128
C00129,60,72,49.62,CA,basic,2023-04-04,0,1,$74.48,crm_export,service,note-129
C00130,55,38,77.55,TX,basic,2020-09-11,3,0,$111.18,crm_export,,note-130
C00131,55,47,89.52,FL,basic,2022-03-31,1,0,$55.94,crm_export,,note-131
C00132,24,57,38.23,TX,pro,2022-12-06,0,0,$58.29,crm_export,,note-132
C00133,55,4,,NY,basic,2022-06-06,2,0,$48.79,crm_export,,note-133
C00134,71,87,111.86,TX,pro,2020-07-20,3,0,$93.68,crm_export,,note-134
C00135,38,11,,FL,basic,2021-12-13,2,0,$88.54,crm_export,,note-135
C00136,58,55,59.52,TX,basic,2020-09-13,1,0,$61.07,crm_export,,note-136
C00137,20,78,46.65,WA,basic,2023-07-23,4,0,$58.02,crm_export,,note-137
C00138,41,9,57.24,NY,enterprise,2021-05-07,0,0,$51.12,crm_export,,note-138
C00139,47,119,40.24,FL,basic,2021-08-13,0,0,$64.21,crm_export,,note-139
C00140,83,45,92.09,WA,basic,2023-04-15,3,0,$90.40,crm_export,,note-140
C00141,32,1,50.58,NY,basic,2021-08-20,3,1,$70.83,crm_export,moved,note-141
C00142,36,79,,NY,enterprise,2020-09-28,0,0,$95.75,crm_export,,note-142
C00143,45,66,59.98,CA,pro,2023-06-04,3,0,$55.60,crm_export,,note-143
C00144,84,76,43.92,NY,basic,2022-06-26,0,0,$23.75,crm_export,,note-144
C00145,75,-1,59.34,CA,basic,2022-04-26,1,0,$122.11,crm_export,,note-145
C00146,20,57,4.4,New York,basic,2020-04-15,0,1,$74.29,crm_export,moved,note-146
C00147,33,99,66.98,CA,basic,2021-09-20,2,0,$85.57,crm_export,,note-147
C00148,73,44,65.75,FL,pro,2021-10-05,1,0,$54.25,crm_export,,note-148
C00149,21,65,90.62,TX,basic,2021-01-02,1,0,$42.75,crm_export,,note-149
C00150,75,19,22.84,WA,basic,2022-03-01,5,0,$73.09,crm_export,,note-150
C00151,36,74,99.05,NY,pro,2020-12-09,2,0,$30.17,crm_export,,note-151
C00152,79,-1,90.51,NY,basic,2021-10-21,0,0,$64.66,crm_export,,note-152
C00153,999,-1,101.3,NY,basic,2023-01-27,2,0,$90.45,crm_export,,note-153
C00154,47,96,68.68,TX,basic,2022-10-26,1,0,$78.97,crm_export,,note-154
C00155,62,103,95.35,NY,basic,2021-01-26,2,0,$75.10,crm_export,,note-155
C00156,26,111,33.22,CA,pro,2020-10-17,5,0,$104.87,crm_export,,note-156
C00157,55,14,87.83,WA,basic,2020-01-09,1,0,$77.51,crm_export,,note-157
C00158,51,16,50.72,FL,basic,2021-04-28,1,0,$31.91,crm_export,,note-158
C00159,70,111,28.71,calif.,basic,2020-01-28,2,0,$67.02,crm_export,,note-159
C00160,84,45,41.9,FL,pro,2020-06-28,1,0,$108.51,crm_export,,note-160
C00161,999,3,70.14,N.Y.,basic,2023-10-01,2,1,$63.81,crm_export,service,note-161
C00162,45,34,49.39,CA,basic,2023-04-12,1,0,$107.28,crm_export,,note-162
C00163,45,-1,,TX,basic,2022-02-22,1,0,$90.47,crm_export,,note-163
C00164,46,42,24.79,FL,basic,2022-12-20,3,0,$61.83,crm_export,,note-164
C00165,72,9,16.82,New York,basic,2021-11-15,0,0,$48.39,crm_export,,note-165
C00166,39,86,104.31,NY,basic,2022-04-21,1,1,$76.80,crm_export,service,note-166
C00167,29,23,92.6,WA,pro,2023-07-09,0,0,$95.41,crm_export,,note-167
C00168,999,42,43.77,NY,basic,2020-04-20,3,0,$38.43,crm_export,,note-168
C00169,19,0,69.93,ny,pro,2021-05-07,2,0,$72.41,crm_export,,note-169
C00170,25,72,95.49,TX,basic,2020-06-15,0,0,$29.17,crm_export,,note-170
C00171,24,53,80.48,FL,basic,2023-01-17,0,0,$63.21,crm_export,,note-171
C00172,69,104,73.71,WA,basic,2023-02-25,1,0,$36.91,crm_export,,note-172
C00173,66,40,97.38,FL,basic,2022-10-07,1,0,$81.24,crm_export,,note-173
C00174,64,24,51.73,CA,pro,2022-05-02,0,0,$56.22,crm_export,,note-174
C00175,48,19,70.78,WA,pro,2021-10-29,4,0,$93.16,crm_export,,note-175
C00176,66,24,69.55,FL,pro,2020-02-02,1,0,$59.19,crm_export,,note-176
C00177,28,54,63.18,FL,basic,2022-12-20,3,0,$57.37,crm_export,,note-177
C00178,78,10,60.25,WA,pro,2023-06-05,2,0,$37.70,crm_export,,note-178
C00179,51,48,,FL,basic,2023-09-14,0,0,$77.82,crm_export,,note-179
C00180,80,102,70.86,NY,basic,2021-04-23,1,1,$79.84,crm_export,price,note-180
C00181,28,92,43.79,TX,basic,2020-10-07,1,0,$88.79,crm_export,,note-181
C00182,51,76,90.04,TX,basic,2022-07-04,1,0,$83.10,crm_export,,note-182
C00183,999,107,45.59,TX,pro,2020-01-25,1,0,$78.03,crm_export,,note-183
C00184,51,93,64.54,FL,pro,2020-03-25,0,1,$81.92,crm_export,price,note-184
C00185,47,78,62.62,calif.,basic,2023-02-24,2,0,$83.94,crm_export,,note-185
C00186,29,103,78.95,CA,basic,2023-09-01,0,0,$88.15,crm_export,,note-186
C00187,43,14,17.02,TX,pro,2021-07-19,1,0,$39.45,crm_export,,note-187
C00188,33,98,92.27,CA,enterprise,2021-12-11,3,0,$60.76,crm_export,,note-188
C00189,38,35,53.08,TX,pro,2022-02-01,1,0,$37.54,crm_export,,note-189
C00190,63,87,,TX,basic,2020-07-12,1,0,$76.64,crm_export,,note-190
C00191,60,109,58.05,NY,basic,2020-11-07,1,0,$102.60,crm_export,,note-191
C00192,58,59,68.78,WA,pro,2021-02-21,2,0,$87.93,crm_export,,note-192
C00193,42,10,117.84,N.Y.,basic,2023-03-24,5,0,$57.86,crm_export,,note-193
C00194,82,44,63.07,CA,enterprise,2021-09-05,2,0,$80.11,crm_export,,note-194
C00195,23,48,100.97,NY,enterprise,2022-10-06,2,0,$76.98,crm_export,,note-195
C00196,40,112,70.98,FL,enterprise,2020-09-29,2,0,$74.66,crm_export,,note-196
C00197,25,113,80.39,CA,basic,2023-08-27,0,0,$43.93,crm_export,,note-197
C00198,40,68,71.75,N.Y.,pro,2023-05-21,1,0,$96.30,crm_export,,note-198
C00199,82,114,91.2,TX,pro,2021-10-27,0,0,$46.44,crm_export,,note-199
C00200,42,52,52.86,WA,basic,2020-11-11,1,0,$62.67,crm_export,,note-200
C00201,78,49,45.4,CA,basic,2023-09-29,1,0,$89.18,crm_export,,note-201
C00202,51,100,,CA,basic,2023-02-05,0,0,$62.53,crm_export,,note-202
C00203,64,80,72.49,TX,basic,2021-12-16,1,0,$71.59,crm_export,,note-203
C00204,48,62,64.48,CA,enterprise,2021-01-09,0,0,$72.39,crm_export,,note-204
C00205,35,54,87.76,FL,pro,2022-05-19,1,1,$71.32,crm_export,moved,note-205
C00206,69,84,,N.Y.,basic,2021-06-02,0,0,$72.30,crm_export,,note-206
C00207,82,90,,TX,basic,2022-08-01,1,0,$74.28,crm_export,,note-207
C00208,35,58,51.65,CA,basic,2023-03-11,2,0,$71.49,crm_export,,note-208
C00209,70,3,34.09,FL,basic,2021-11-16,2,0,$52.09,crm_export,,note-209
C00210,35,12,120.76,TX,basic,2020-03-08,2,0,$39.00,crm_export,,note-210
C00211,66,17,77.62,CA,pro,2022-02-26,1,1,$89.96,crm_export,service,note-211
C00212,70,55,82.0,NY,pro,2023-04-17,2,0,$90.88,crm_export,,note-212
C00213,48,73,36.49,CA,pro,2020-11-08,1,0,$76.75,crm_export,,note-213
C00214,67,96,69.97,CA,pro,2023-09-05,0,0,$76.58,crm_export,,note-214
C00215,36,27,82.73,FL,basic,2021-05-22,3,0,$51.70,crm_export,,note-215
C00216,23,94,63.68,N.Y.,pro,2022-08-15,0,0,$21.23,crm_export,,note-216
C00217,24,79,96.89,WA,basic,2022-09-09,1,0,$65.03,crm_export,,note-217
C00218,47,6,127.8,NY,basic,2020-09-11,3,0,$32.05,crm_export,,note-218
C00219,78,42,46.32,FL,basic,2020-02-24,1,0,$73.69,crm_export,,note-219
C00220,26,36,,FL,basic,2023-08-21,2,0,$96.08,crm_export,,note-220
C00221,48,106,48.06,calif.,basic,2022-09-07,0,0,$57.68,crm_export,,note-221
C00222,65,110,110.15,WA,basic,2022-06-02,0,0,$58.83,crm_export,,note-222
C00223,31,98,,FL,basic,2021-03-01,3,0,$49.88,crm_export,,note-223
C00224,66,63,66.61,FL,enterprise,2020-05-31,1,0,$70.89,crm_export,,note-224
C00225,38,59,70.91,FL,basic,2021-01-15,1,0,$69.34,crm_export,,note-225
C00226,72,37,49.59,TX,basic,2022-02-05,1,0,$49.62,crm_export,,note-226
C00227,56,92,92.25,FL,enterprise,2022-08-28,0,0,$88.25,crm_export,,note-227
C00228,54,10,60.5,WA,basic,2021-03-22,0,0,$124.05,crm_export,,note-228
C00229,29,32,63.5,FL,basic,2020-10-27,3,0,$93.80,crm_export,,note-229
C00230,49,16,85.22,FL,enterprise,2020-12-15,2,0,$67.79,crm_export,,note-230
C00231,75,-1,65.3,CA,basic,2023-09-08,3,0,$67.55,crm_export,,note-231
C00232,19,35,64.13,TX,basic,2022-06-01,0,0,$59.73,crm_export,,note-232
C00233,68,23,70.26,CA,basic,2023-10-18,2,1,$59.32,crm_export,price,note-233
C00234,51,45,89.88,CA,basic,2020-01-09,1,0,$89.16,crm_export,,note-234
C00235,66,103,111.16,NY,pro,2021-10-03,1,0,$90.03,crm_export,,note-235
C00236,62,66,84.64,TX,basic,2021-10-02,0,0,$46.61,crm_export,,note-236
C00237,46,98,90.08,TX,pro,2021-07-15,1,0,$77.33,crm_export,,note-237
C00238,38,109,65.0,WA,pro,2021-07-02,1,1,$92.22,crm_export,service,note-238
C00239,60,108,52.31,calif.,enterprise,2020-04-20,0,0,$63.00,crm_export,,note-239
C00240,999,42,86.35,TX,basic,2020-02-15,4,0,$65.77,crm_export,,note-240
C00241,57,105,74.28,NY,basic,2022-12-25,1,0,$83.92,crm_export,,note-241
C00242,24,109,34.43,N.Y.,enterprise,2021-09-08,0,0,$84.49,crm_export,,note-242
C00243,61,115,61.8,NY,pro,2020-08-15,1,0,$78.58,crm_export,,note-243
C00244,60,42,67.93,WA,basic,2021-05-01,3,0,$75.08,crm_export,,note-244
C00245,23,27,57.24,FL,basic,2023-07-30,1,0,$77.77,crm_export,,note-245
C00246,68,70,107.04,FL,pro,2021-10-16,2,0,$64.45,crm_export,,note-246
C00247,45,111,82.0,NY,basic,2023-10-18,1,0,$47.65,crm_export,,note-247
C00248,70,108,104.33,FL,basic,2020-08-14,2,0,$38.87,crm_export,,note-248
C00249,999,68,76.59,WA,pro,2020-06-20,3,0,$81.91,crm_export,,note-249
C00250,30,17,72.03,CA,basic,2022-02-28,0,0,$72.16,crm_export,,note-250
C00251,51,50,46.59,CA,basic,2022-08-14,3,0,$79.11,crm_export,,note-251
C00252,999,85,70.3,TX,pro,2023-10-05,2,0,$53.42,crm_export,,note-252
C00253,40,67,70.33,NY,pro,2021-10-14,4,0,$72.05,crm_export,,note-253
C00254,62,41,35.82,FL,basic,2020-10-07,2,0,$71.57,crm_export,,note-254
C00255,999,41,56.51,TX,pro,2022-01-27,3,0,$95.58,crm_export,,note-255
C00256,63,7,61.92,WA,basic,2021-03-05,2,0,$87.04,crm_export,,note-256
C00257,24,34,80.34,NY,basic,2020-09-08,0,0,$55.20,crm_export,,note-257
C00258,29,80,81.53,NY,enterprise,2020-05-03,3,0,$80.09,crm_export,,note-258
C00259,57,28,55.47,CA,basic,2022-10-09,0,0,$55.06,crm_export,,note-259
C00260,71,119,81.72,NY,basic,2022-06-18,1,0,$17.74,crm_export,,note-260
C00261,29,9,,NY,pro,2020-08-21,0,0,$104.52,crm_export,,note-261
C00262,38,70,-1.74,FL,basic,2022-02-21,2,0,$62.50,crm_export,,note-262
C00263,79,59,57.88,NY,basic,2023-05-24,2,0,$90.79,crm_export,,note-263
C00264,84,99,,NY,pro,2023-02-19,1,0,$56.77,crm_export,,note-264
C00265,56,106,27.95,NY,basic,2021-09-27,2,0,$53.85,crm_export,,note-265
C00266,47,65,72.82,TX,pro,2020-03-21,2,0,$59.07,crm_export,,note-266
C00267,41,75,109.63,FL,basic,2022-06-07,1,0,$75.05,crm_export,,note-267
C00268,59,83,50.98,WA,basic,2021-12-23,2,0,$73.52,crm_export,,note-268
C00269,57,-1,70.05,CA,pro,2023-07-14,0,0,$79.95,crm_export,,note-269
C00270,37,22,37.4,WA,basic,2022-02-13,0,0,$60.07,crm_export,,note-270
C00271,19,51,110.68,calif.,pro,2022-10-30,1,0,$70.81,crm_export,,note-271
C00272,28,28,67.92,WA,enterprise,2022-01-09,0,0,$53.14,crm_export,,note-272
C00273,82,55,71.17,CA,pro,2022-01-27,2,1,$99.39,crm_export,service,note-273
C00274,46,73,103.86,FL,basic,2021-03-20,1,0,$43.72,crm_export,,note-274
C00275,50,25,86.54,WA,basic,2021-07-17,2,0,$53.56,crm_export,,note-275
C00276,49,29,,CA,pro,2021-02-18,2,0,$61.53,crm_export,,note-276
C00277,70,98,53.82,FL,basic,2021-10-08,0,0,$117.78,crm_export,,note-277
C00278,22,45,,CA,pro,2023-08-25,0,0,$85.34,crm_export,,note-278
C00279,23,23,54.4,WA,pro,2021-04-23,1,0,$52.93,crm_export,,note-279
C00280,36,85,17.07,FL,basic,2021-10-10,1,0,$86.44,crm_export,,note-280
C00281,50,85,68.67,WA,basic,2023-08-17,2,0,$80.32,crm_export,,note-281
C00282,62,99,32.99,WA,pro,2020-07-30,0,0,$75.47,crm_export,,note-282
C00283,50,91,110.41,NY,basic,2020-12-20,1,1,$83.92,crm_export,moved,note-283
C00284,47,119,,TX,basic,2021-11-21,0,0,$71.16,crm_export,,note-284
C00285,80,68,47.37,FL,basic,2021-07-27,4,0,$73.42,crm_export,,note-285
C00286,28,34,,CA,pro,2021-04-22,1,0,$38.94,crm_export,,note-286
C00287,56,103,22.77,calif.,basic,2022-12-25,4,0,$98.86,crm_export,,note-287
C00288,54,31,42.51,CA,basic,2021-11-29,2,0,$61.05,crm_export,,note-288
C00289,49,34,95.41,calif.,pro,2021-05-25,2,1,$45.26,crm_export,service,note-289
C00290,72,99,125.79,NY,pro,2021-11-01,3,0,$59.91,crm_export,,note-290
C00291,35,105,88.16,TX,enterprise,2023-05-26,0,0,$60.72,crm_export,,note-291
C00292,81,40,67.7,TX,basic,2023-10-09,1,0,$53.98,crm_export,,note-292
C00293,40,87,59.2,NY,pro,2020-12-06,0,0,$85.55,crm_export,,note-293
C00294,999,110,,FL,pro,2020-02-26,1,0,$89.48,crm_export,,note-294
C00295,52,95,121.49,WA,pro,2020-02-13,0,0,$30.82,crm_export,,note-295
C00296,74,0,65.28,TX,basic,2021-09-15,3,1,$59.70,crm_export,moved,note-296
C00297,47,79,122.89,New York,basic,2022-05-30,3,0,$61.14,crm_export,,note-297
C00298,37,20,104.84,CA,basic,2020-03-12,0,1,$66.56,crm_export,moved,note-298
C00299,19,101,26.48,WA,basic,2021-12-12,2,0,$104.13,crm_export,,note-299
C00300,42,8,53.35,CA,basic,2021-07-13,1,0,$53.73,crm_export,,note-300
C00301,999,119,53.27,CA,enterprise,2023-07-30,5,0,$101.25,crm_export,,note-301
C00302,18,21,68.0,CA,basic,2022-04-24,0,0,$67.08,crm_export,,note-302
C00303,78,50,68.49,NY,enterprise,2021-08-15,2,0,$101.43,crm_export,,note-303
C00304,54,28,144.91,WA,basic,2022-04-01,0,0,$63.78,crm_export,,note-304
C00305,27,97,43.07,NY,pro,2020-07-08,2,0,$61.44,crm_export,,note-305
C00306,38,47,75.72,FL,basic,2021-10-27,2,0,$69.55,crm_export,,note-306
C00307,55,89,85.41,TX,pro,2021-04-06,0,0,$95.85,crm_export,,note-307
C00308,39,8,69.96,CA,basic,2020-09-10,1,0,$73.17,crm_export,,note-308
C00309,25,54,72.75,TX,enterprise,2021-07-04,3,0,$74.19,crm_export,,note-309
C00310,62,109,43.88,NY,basic,2022-06-13,2,1,$82.73,crm_export,service,note-310
C00311,63,111,72.66,NY,basic,2022-03-27,0,0,$52.41,crm_export,,note-311
C00312,25,25,82.78,TX,enterprise,2023-09-11,1,1,$76.73,crm_export,service,note-312
